dept_id,dept_name,dept_campus,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,no_gender_count
8,"Michael Smith Labs",NULL,3564559,142582.3600,146239.9412,99962.5000,169657.5000,88402,3536.0800,NULL,0,25,4,17,4
37,"Materials Engineering",NULL,3513667,130135.8148,135702.5500,82617.0000,119499.8333,273227,10119.5185,NULL,0,27,1,20,6
128,"School Of Kinesiology",NULL,3476346,144847.7500,148388.3846,157624.8000,126528.8333,85992,3583.0000,NULL,0,24,5,13,6
118,Sociology,NULL,3466591,138663.6400,141512.2727,138219.6364,129846.6667,82463,3298.5200,NULL,0,25,11,11,3
68,"Anesthesia,Pharmclgy&Thraputcs",NULL,3366018,134640.7200,134566.8125,128201.0000,138057.6667,99857,3994.2800,NULL,0,25,3,16,6
50,"French,Hispanic & Italian Std",NULL,3324085,110802.8333,112652.9000,105790.3333,113222.0909,61053,2035.1000,NULL,0,30,9,10,11
106,"Asian Studies",NULL,3281211,117186.1071,133244.0000,105243.7143,107882.1000,129413,4621.8929,NULL,0,28,7,11,10
54,"Ubco - Nursing",NULL,3114596,107399.8621,NULL,111261.3200,83265.7500,90155,3108.7931,NULL,0,29,25,0,4
164,Orthopaedics,NULL,3054042,113112.6667,122180.1667,99475.8000,89355.0000,66039,2445.8889,NULL,0,27,5,18,4
47,"Food, Nutrition & Health",NULL,3039031,126626.2917,132897.1429,126004.7143,122671.8000,245505,10229.3750,NULL,0,24,7,7,10
183,"Medicine Department",NULL,2947923,184245.1875,209513.8182,102368.5000,146178.0000,92162,5760.1250,NULL,0,16,2,11,3
57,Philosophy,NULL,2905191,145259.5500,149401.3571,139214.2000,117501.0000,96323,4816.1500,NULL,0,20,5,14,1
97,"Department Of Wood Science",NULL,2776353,132207.2857,135272.4118,79234.0000,132496.0000,195201,9295.2857,NULL,0,21,1,17,3
121,"Schl Of Arch & Landscp Arch",NULL,2776096,138804.8000,136132.5833,138758.6667,154976.5000,67512,3375.6000,NULL,0,20,6,12,2
224,"Arthistory,Visual Art & Theory",NULL,2771380,115474.1667,106193.5000,118815.5000,121413.5000,51758,2156.5833,NULL,0,24,8,8,8
69,"Physical Therapy",NULL,2683038,141212.5263,116752.5000,149050.5455,144118.0000,87644,4612.8421,NULL,0,19,11,4,4
31,"Applied Biology",NULL,2664934,133246.7000,135661.0769,112928.0000,135096.8000,79872,3993.6000,NULL,0,20,2,13,5
25,Ophthalmology,NULL,2645501,155617.7059,167673.0000,133546.5000,99239.0000,105601,6211.8235,NULL,0,17,4,12,1
113,Anthropology,NULL,2621837,124849.3810,130714.3000,118844.8750,121311.6667,155760,7417.1429,NULL,0,21,8,10,3
122,"Center For Teachng,Learng&Tech",NULL,2621382,90392.4828,90747.0000,87669.0833,96077.8000,57592,1985.9310,NULL,0,29,12,12,5
108,"Ubco - Faculty Of Education",NULL,2603447,113193.3478,105785.6667,112804.6000,130832.5000,107845,4688.9130,NULL,0,23,10,9,4
23,"Urologic Sciences",NULL,2588662,123269.6190,126827.8462,107398.2500,127576.7500,27293,1299.6667,NULL,0,21,4,13,4
30,"Forest Resources Managmnt",NULL,2578415,135706.0526,139495.2857,115579.6667,139371.0000,211923,11153.8421,NULL,0,19,3,14,2
29,Deptforest&Conservationscience,NULL,2542860,133834.7368,150230.0000,128076.2500,83090.0000,108302,5700.1053,NULL,0,19,8,9,2
99,"Athletics And Recreation",NULL,2511307,100452.2800,96447.0625,97366.3333,112675.8333,238366,9534.6400,NULL,0,25,3,16,6
141,"Ubc Properties Trust",NULL,2449452,163296.8000,210963.5000,109645.6667,103870.0000,42618,2841.2000,NULL,0,15,6,8,1
63,Medit,NULL,2444334,90530.8889,92441.5882,96657.7500,81032.6667,127285,4714.2593,NULL,0,27,4,17,6
27,"Classical, Nr.Estrn&Relign Std",NULL,2381831,119091.5500,134228.1250,108195.0000,113028.0000,82183,4109.1500,NULL,0,20,10,8,2
150,"Applied Science, Deans Office",NULL,2358260,117913.0000,117646.3333,127289.0000,102105.0000,116836,5841.8000,NULL,0,20,7,9,4
157,Statistics,NULL,2312432,136025.4118,132923.8571,145408.3333,135105.7143,65872,3874.8235,NULL,0,17,3,7,7
78,"Ubco-Barberarts&Sciencesunit 1",NULL,2312155,110102.6190,115459.5000,104375.3750,107519.0000,120154,5721.6190,NULL,0,21,8,10,3
142,"Ubco-Fac.Of Mngmt-Dean'Soffice",NULL,2274380,142148.7500,142376.2222,119758.6667,158429.5000,118170,7385.6250,NULL,0,16,3,9,4
137,Radiology,NULL,2271666,151444.4000,140086.0000,95607.7500,256182.3333,58681,3912.0667,NULL,0,15,4,8,3
79,"Medicine,Udrgrd Ed.(Dean'Soff)",NULL,2234153,117587.0000,97478.0000,89295.5000,151373.7500,61886,3257.1579,NULL,0,19,6,5,8
189,"Ubco-Barberarts&Sciencesunit 8",NULL,2198467,115708.7895,119700.5714,89590.0000,114493.0000,78496,4131.3684,NULL,0,19,2,14,3
124,"Ubco-Barberarts&Sciencesunit 5",NULL,2193155,115429.2105,115299.8182,118248.0000,114022.6000,57261,3013.7368,NULL,0,19,3,11,5
42,"Ubco-Barberarts&Sciencesunit 4",NULL,2125442,125026.0000,134127.7778,114786.5000,NULL,69104,4064.9412,NULL,0,17,8,9,0
86,"Arts, Dean'S Office",NULL,2042955,127684.6875,171374.5000,113372.0000,112369.6667,101739,6358.6875,NULL,0,16,9,4,3
100,Linguistics,NULL,2038846,145631.8571,145168.2500,127013.5000,184723.0000,40816,2915.4286,NULL,0,14,4,8,2
215,"Fisheries Centre",NULL,2032445,145174.6429,146072.2000,121091.0000,164770.5000,130604,9328.8571,NULL,0,14,2,10,2
153,"Ubco-Barberarts&Sciencesunit 2",NULL,1989595,117035.0000,116397.3750,122480.5714,100526.0000,43886,2581.5294,NULL,0,17,7,8,2
93,"Infectious Diseases Division",NULL,1908591,190859.1000,218702.2500,79486.5000,NULL,34690,3469.0000,NULL,0,10,2,8,0
123,"Ubco-Barberarts&Sciencesunit 7",NULL,1863005,124200.3333,130030.1111,105446.0000,117457.6000,38202,2546.8000,NULL,0,15,1,9,5
173,"Social Work",NULL,1787931,119195.4000,134438.4000,108089.8750,125510.0000,73493,4899.5333,NULL,0,15,8,5,2
28,"Ubco - Schl Health&Exercisesci",NULL,1741938,116129.2000,119071.3750,105076.2000,131993.0000,75204,5013.6000,NULL,0,15,5,8,2
265,"Libry Arch & Info Studies, Sch",NULL,1732228,133248.3077,110381.0000,143696.6667,142841.3333,99654,7665.6923,NULL,0,13,6,4,3
262,"Mining Engineering",NULL,1726692,143891.0000,137083.5000,101409.0000,176205.0000,157424,13118.6667,NULL,0,12,1,8,3
24,"Ubco-Barberarts&Sciencesunit 6",NULL,1715696,107231.0000,111787.9167,93285.6667,94384.0000,51395,3212.1875,NULL,0,16,3,12,1
114,"Cardiology Division",NULL,1694209,141184.0833,183398.6000,111030.8571,NULL,5586,465.5000,NULL,0,12,7,5,0
149,"Continuing Studies - Domestic",NULL,1653642,110242.8000,122142.7143,89863.2500,109797.5000,66570,4438.0000,NULL,0,15,4,7,4
65,"Comm & Reg'L Plan, School Of",NULL,1636426,148766.0000,138231.2000,157545.0000,NULL,68961,6269.1818,NULL,0,11,6,5,0
195,"Project Services",NULL,1623371,101460.6875,102122.8889,105633.6667,96841.0000,18210,1138.1250,NULL,0,16,3,9,4
5,"Emergency Medicine",NULL,1572140,131011.6667,131913.6667,106798.0000,176733.0000,52806,4400.5000,NULL,0,12,4,6,2
59,"Continuing Studies - Int'L",NULL,1528696,109192.5714,111450.6667,123015.6000,81638.0000,53530,3823.5714,NULL,0,14,5,6,3
92,"Audiology & Speech Sciences",NULL,1516559,116658.3846,132896.0000,110258.8333,95263.0000,23351,1796.2308,NULL,0,13,6,5,2
103,"Ubco-Barberarts&Sciencesunit 3",NULL,1509525,116117.3077,115125.2500,116925.7500,120820.0000,16114,1239.5385,NULL,0,13,4,8,1
74,"Faculty Of Education",NULL,1503009,136637.1818,124848.7500,115108.2000,214036.5000,105397,9581.5455,NULL,0,11,5,4,2
182,"Ubco - Creative Studies",NULL,1450715,111593.4615,112815.2000,111248.0000,109575.5000,22815,1755.0000,NULL,0,13,6,5,2
239,"Industry Liaison Office",NULL,1446562,96437.4667,102393.6667,87879.0000,129168.0000,19689,1312.6000,NULL,0,15,8,6,1
266,"Dermatology & Skin Science",NULL,1431108,159012.0000,170480.8571,NULL,118871.0000,29117,3235.2222,NULL,0,9,0,7,2
102,Ocuptnlscience&Ocuptnltherapy,NULL,1411642,128331.0909,116252.0000,125619.4444,164815.0000,46097,4190.6364,NULL,0,11,9,1,1
159,"Student Health Services",NULL,1404090,127644.5455,107623.7500,131338.5000,185564.0000,22683,2062.0909,NULL,0,11,6,4,1
326,"Fac Med Financial Services",NULL,1389943,115828.5833,141437.0000,110735.7500,79746.0000,39607,3300.5833,NULL,0,12,8,3,1
176,"Theatre And Film",NULL,1386512,115542.6667,119850.4286,110055.0000,108697.0000,29900,2491.6667,NULL,0,12,3,7,2
199,"Inst-Resorcs,Envirn&Sustainbty",NULL,1360753,170094.1250,184271.0000,161559.6667,138990.0000,62198,7774.7500,NULL,0,8,3,4,1
101,"Dae Services",NULL,1353770,90251.3333,104626.6000,84736.0000,81391.4000,36419,2427.9333,NULL,0,15,5,5,5
145,"Ubc It -  Client Services",NULL,1347320,103640.0000,104661.4000,104846.0000,97468.5000,44205,3400.3846,NULL,0,13,6,5,2
66,"Ubc It -  Infrastructure",NULL,1345806,112150.5000,113969.8750,114998.6667,89051.0000,34250,2854.1667,NULL,0,12,3,8,1
154,"Human Early Learning Partnrshp",NULL,1334030,102617.6923,120871.6000,91209.0000,NULL,79556,6119.6923,NULL,0,13,8,5,0
304,"Division Of Aids",NULL,1310745,218457.5000,216768.7500,183803.0000,259867.0000,5084,847.3333,NULL,0,6,1,4,1
259,"Forestry, Dean'S Office",NULL,1309025,130902.5000,156271.7500,123463.5000,95042.0000,112050,11205.0000,NULL,0,10,4,4,2
58,"Risk Management Services",NULL,1308049,100619.1538,104507.2857,91468.0000,119158.0000,37066,2851.2308,NULL,0,13,5,7,1
279,"Vp Academic & Provost",NULL,1293674,161709.2500,183074.5000,155901.0000,93673.0000,76208,9526.0000,NULL,0,8,3,4,1
105,"Museum Of Anthropology",NULL,1283750,98750.0000,131483.0000,86923.0000,93613.3333,43115,3316.5385,NULL,0,13,7,3,3
209,"Asian Research, Institute Of",NULL,1277194,141910.4444,167779.8000,88121.0000,116724.6667,148250,16472.2222,NULL,0,9,1,5,3
88,"Ubc It -  Systems",NULL,1232365,94797.3077,93532.1250,NULL,96821.6000,6924,532.6154,NULL,0,13,0,8,5
184,"President'S Office",NULL,1230423,205070.5000,286189.6667,123951.3333,NULL,229756,38292.6667,NULL,0,6,3,3,0
174,"Library - Administration Div",NULL,1215682,110516.5455,87450.7500,124129.1667,121104.0000,78723,7156.6364,NULL,0,11,6,4,1
112,"Ubc It - Intgratn Comptncy Ctr",NULL,1205343,92718.6923,95896.0000,87573.2500,93892.5000,11,0.8462,NULL,0,13,4,5,4
10,"Library - Humanities&Socl Scie",NULL,1193477,99456.4167,101386.0000,101655.5000,89000.0000,20880,1740.0000,NULL,0,12,6,4,2
206,"Faculty Of Land & Food Systems",NULL,1184644,131627.1111,145128.2000,117637.5000,111864.0000,65404,7267.1111,NULL,0,9,2,5,2
178,"Vp Research & Intl. Office",NULL,1171364,167337.7143,251120.0000,131153.0000,137832.5000,132659,18951.2857,NULL,0,7,3,2,2
2,"Facilities Planning",NULL,1155427,105038.8182,105132.0000,106963.5556,87623.0000,9525,865.9091,NULL,0,11,9,1,1
177,"Ubc Information Technology",NULL,1153598,164799.7143,169859.8000,152149.5000,NULL,64432,9204.5714,NULL,0,7,2,5,0
201,Treasury,NULL,1146549,114654.9000,121443.7500,118359.0000,93669.0000,19578,1957.8000,NULL,0,10,4,4,2
136,"Ubc It - Comunctn&Colbartntech",NULL,1132786,94398.8333,96770.8571,87934.5000,93173.6667,5120,426.6667,NULL,0,12,2,7,3
117,"Library - Woodward",NULL,1114115,101283.1818,102122.3333,97980.1667,109933.5000,25809,2346.2727,NULL,0,11,6,3,2
126,"Ubc It - Identity & Access Mgm",NULL,1093297,99390.6364,98148.8333,93254.5000,105965.0000,6279,570.8182,NULL,0,11,2,6,3
286,"Ctrl,Estrn,Nrthrn Europe Stud.",NULL,1080075,108007.5000,112703.2500,76733.5000,118948.7500,32490,3249.0000,NULL,0,10,2,4,4
90,"Science, Dean'S Office",NULL,1068654,133581.7500,185921.0000,109856.6667,122414.0000,26405,3300.6250,NULL,0,8,3,2,3
38,"Ubc Utilities - Steam Plant",NULL,1050643,87553.5833,87891.1000,78377.0000,93355.0000,4950,412.5000,NULL,0,12,1,10,1
3,"Vp Academic & Provost Office",NULL,1049450,174908.3333,220073.0000,156342.3333,180175.0000,40934,6822.3333,NULL,0,6,3,1,2
296,"Creative Writing Program",NULL,1044565,116062.7778,116443.7500,115758.0000,NULL,14365,1596.1111,NULL,0,9,5,4,0
34,"Ubco - It Services",NULL,1036337,94212.4545,98809.2500,89345.0000,78259.0000,54152,4922.9091,NULL,0,11,1,8,2
334,"Research Services",NULL,1025841,102584.1000,123303.6667,94658.2500,92432.3333,31389,3138.9000,NULL,0,10,4,3,3
77,"Ubc It - Ubcnetwrk& Inf Facil.",NULL,970773,97077.3000,93313.5714,101312.0000,108133.0000,16113,1611.3000,NULL,0,10,1,7,2
132,"University Counsel Office",NULL,946315,135187.8571,145439.0000,121519.6667,NULL,42396,6056.5714,NULL,0,7,3,4,0
345,Imant,NULL,916971,229242.7500,309936.0000,106139.0000,190960.0000,52967,13241.7500,NULL,0,4,1,2,1
53,"Intern'L Student Initiative",NULL,893754,99306.0000,98579.8000,95742.0000,113629.0000,157250,17472.2222,NULL,0,9,3,5,1
208,"Ubco - Social Work",NULL,893655,111706.8750,112271.3333,110656.0000,114217.0000,32442,4055.2500,NULL,0,8,4,3,1
89,"Dentistry, Dean'S Office",NULL,890031,111253.8750,290115.0000,84958.0000,87563.0000,62463,7807.8750,NULL,0,8,5,1,2
80,"Sauder - Real Estate Division",NULL,883633,126233.2857,134747.5000,75148.0000,NULL,45706,6529.4286,NULL,0,7,1,6,0
287,"Pension Administration Office",NULL,875352,97261.3333,113314.6667,89234.6667,NULL,18395,2043.8889,NULL,0,9,6,3,0
356,"Paragon Testing Enterprises Inc.",NULL,861890,123127.1429,135049.0000,75295.0000,123199.5000,28028,4004.0000,NULL,0,7,1,4,2
282,Facofgradstudies&Postdocstdies,NULL,861172,123024.5714,106390.6667,135500.0000,NULL,28494,4070.5714,NULL,0,7,4,3,0
104,"Liu Inst. For Global Issues",NULL,830460,138410.0000,121382.0000,111209.5000,162219.6667,41219,6869.8333,NULL,0,6,2,1,3
218,"Finance & Operatinl Strategies",NULL,818521,136420.1667,151488.0000,128886.2500,NULL,12114,2019.0000,NULL,0,6,4,2,0
138,Communications,NULL,800416,100052.0000,176873.0000,89077.5714,NULL,32917,4114.6250,NULL,0,8,7,1,0
95,"Counselling Services",NULL,796944,88549.3333,91527.0000,94703.5000,81650.7500,16318,1813.1111,NULL,0,9,4,1,4
276,"General Internal Medicine",NULL,784313,156862.6000,158065.5000,156060.6667,NULL,9697,1939.4000,NULL,0,5,3,2,0
155,"Ubc It - Database Adminstrn.",NULL,779906,97488.2500,98660.6667,110015.0000,77927.0000,420,52.5000,NULL,0,8,1,6,1
64,"Library - Technical Services",NULL,768571,109795.8571,110246.3333,109458.0000,NULL,21267,3038.1429,NULL,0,7,4,3,0
238,"Arts Isit",NULL,741786,105969.4286,111811.0000,107387.0000,84192.0000,15952,2278.8571,NULL,0,7,3,3,1
162,"Animal Care Services",NULL,737455,122909.1667,NULL,113898.4000,167963.0000,5469,911.5000,NULL,0,6,5,0,1
46,"Endocrinology & Metabolism Div",NULL,730399,121733.1667,153498.0000,102378.2500,167388.0000,10021,1670.1667,NULL,0,6,4,1,1
91,"Ubc It - Enterprise Architectr",NULL,726238,121039.6667,139370.6667,102708.6667,NULL,13795,2299.1667,NULL,0,6,3,3,0
298,"Ubc Utilities - Administration",NULL,722237,120372.8333,132846.7500,110876.0000,79974.0000,24322,4053.6667,NULL,0,6,1,4,1
291,"Gastroenterology Division",NULL,694884,138976.8000,154248.5000,124025.0000,138337.0000,20404,4080.8000,NULL,0,5,2,2,1
202,"Communications & Marketing",NULL,690952,98707.4286,86689.5000,134228.0000,75738.0000,18248,2606.8571,NULL,0,7,2,4,1
312,Ubco-Barberschool-Dean'Soffice,NULL,685797,137159.4000,166342.0000,129863.7500,NULL,26218,5243.6000,NULL,0,5,4,1,0
186,"Journalism, School Of",NULL,678182,135636.4000,162219.0000,108707.5000,136329.0000,56782,11356.4000,NULL,0,5,2,2,1
210,"Food Services",NULL,661555,94507.8571,88083.5000,95703.0000,97994.0000,38504,5500.5714,NULL,0,7,2,2,3
204,"Library - Info Sys & Tech Div",NULL,652824,93260.5714,92471.0000,83680.0000,96050.5000,11747,1678.1429,NULL,0,7,1,2,4
283,"Ubc It - Application Mgmt Srv",NULL,644443,107407.1667,108207.8000,103404.0000,NULL,2866,477.6667,NULL,0,6,1,5,0
98,"Critical Care Medicine",NULL,630168,105028.0000,115055.2500,84973.5000,NULL,5448,908.0000,NULL,0,6,2,4,0
241,"Building Ops - Technical Srvs",NULL,628297,104716.1667,104716.1667,NULL,NULL,11854,1975.6667,NULL,0,6,0,6,0
139,"Ubco - Library",NULL,622400,88914.2857,95262.0000,88442.8000,84924.0000,36048,5149.7143,NULL,0,7,5,1,1
242,"Building Ops - Oprtns Effectiv",NULL,617405,102900.8333,91253.0000,127198.5000,89249.0000,13941,2323.5000,NULL,0,6,2,3,1
135,"Building Ops - Facilities Mgr",NULL,615217,102536.1667,99038.4000,120025.0000,NULL,4884,814.0000,NULL,0,6,1,5,0
274,"Ubc It - Business Info Systems",NULL,609852,87121.7143,88341.0000,77411.0000,89538.5000,2583,369.0000,NULL,0,7,1,4,2
94,"Rheumatology Division",NULL,595871,148967.7500,195659.0000,152262.0000,95688.0000,0,0.0000,NULL,0,4,2,1,1
230,"Theatre And Film (Film)",NULL,589940,117988.0000,127499.0000,111647.3333,NULL,4751,950.2000,NULL,0,5,3,2,0
219,"Ubc It -  Desktop Services",NULL,587824,83974.8571,85213.0000,76588.0000,85192.0000,5636,805.1429,NULL,0,7,1,4,2
253,"Housing-Facilities,Tbird Res.",NULL,570598,81514.0000,82000.0000,NULL,78598.0000,2496,356.5714,NULL,0,7,0,6,1
264,"Faculty Of Applied Science",NULL,564793,141198.2500,135707.0000,NULL,157672.0000,10827,2706.7500,NULL,0,4,0,3,1
158,"Internal Audit",NULL,563773,112754.6000,121805.2500,76552.0000,NULL,30605,6121.0000,NULL,0,5,1,4,0
284,"Access And Diversity",NULL,552260,92043.3333,78261.0000,103819.6667,81270.0000,17750,2958.3333,NULL,0,6,3,1,2
305,"Vp Devlp & Alum. Engage.Office",NULL,552256,184085.3333,NULL,184085.3333,NULL,114782,38260.6667,NULL,0,3,3,0,0
205,"Sauder - Executive Education",NULL,548237,137059.2500,240073.0000,102721.3333,NULL,95671,23917.7500,NULL,0,4,3,1,0
232,"Vp Students Office",NULL,542539,135634.7500,107542.0000,163727.5000,NULL,23755,5938.7500,NULL,0,4,2,2,0
197,"James Hogg Icapture Centre",NULL,530435,88405.8333,85362.0000,85578.0000,94277.5000,8329,1388.1667,NULL,0,6,2,2,2
344,"Ctr Stud Involvmnt & Careers",NULL,527255,87875.8333,80516.0000,100035.5000,83076.0000,24472,4078.6667,NULL,0,6,2,2,2
133,"Library - Digital Initiatives",NULL,525887,105177.4000,107755.3333,101310.5000,NULL,23957,4791.4000,NULL,0,5,2,3,0
196,"Vp Finance,Resources & Ops.",NULL,514317,171439.0000,325873.0000,94222.0000,NULL,20896,6965.3333,NULL,0,3,2,1,0
187,"Alumni Ubc",NULL,509072,101814.4000,114914.0000,93081.3333,NULL,38295,7659.0000,NULL,0,5,3,2,0
258,"C+Cp Sustainability/Engineerng",NULL,503990,100798.0000,104917.0000,84322.0000,NULL,6283,1256.6000,NULL,0,5,1,4,0
272,"Faculty Of Science",NULL,482920,160973.3333,192660.5000,NULL,97599.0000,11902,3967.3333,NULL,0,3,0,2,1
235,"Ubc It -  Academic Systms Sprt",NULL,482823,96564.6000,98237.5000,NULL,89873.0000,5780,1156.0000,NULL,0,5,0,4,1
234,"Enrolment Services",NULL,479640,95928.0000,78476.0000,103510.6667,90632.0000,19464,3892.8000,NULL,0,5,3,1,1
329,"Ubc It -  Ntwrk Plng & Bcnet",NULL,478197,95639.4000,95544.2500,NULL,96020.0000,6307,1261.4000,NULL,0,5,0,4,1
318,"Population Data Bc",NULL,469199,93839.8000,92557.6667,113513.0000,78013.0000,7162,1432.4000,NULL,0,5,1,3,1
377,"Library - Law",NULL,465288,116322.0000,87839.0000,164236.0000,106606.5000,7980,1995.0000,NULL,0,4,1,1,2
116,"Ubc It -  Financial Systems",NULL,463716,92743.2000,92461.3333,93166.0000,NULL,2838,567.6000,NULL,0,5,2,3,0
